name,variable_description,data_collection_period,educational_category,high_school_diploma,college_degree,graduate_degree,population_estimate
"Jasper County, Iowa",7th grade,2009-2013,Less than High School,No,No,No,48
"Wright County, Iowa",Professional school degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,Yes,83
"Delaware County, Iowa",9th grade,2008-2012,Less than High School,No,No,No,128
"Union County, Iowa","12th grade, no diploma",2010-2014,Less than High School,No,No,No,123
"Howard County, Iowa",10th grade,2014-2018,Less than High School,No,No,No,66
"Buena Vista County, Iowa",5th grade,2008-2012,Less than High School,No,No,No,71
"Floyd County, Iowa",1st grade,2014-2018,Less than High School,No,No,No,0
"Dickinson County, Iowa",1st grade,2012-2016,Less than High School,No,No,No,0
"Jasper County, Iowa","12th grade, no diploma",2015-2019,Less than High School,No,No,No,228
"Chickasaw County, Iowa",11th grade,2014-2018,Less than High School,No,No,No,68
"Clinton County, Iowa",Total,2012-2016,NA,NA,NA,NA,33105
"Fremont County, Iowa",7th grade,2013-2017,Less than High School,No,No,No,29
"Polk County, Iowa",Doctorate degree,2012-2016,Bachelors Degree or Higher,Yes,Yes,Yes,3247
"Ida County, Iowa",3rd grade,2014-2018,Less than High School,No,No,No,0
"Black Hawk County, Iowa",Kindergarten,2014-2018,Less than High School,No,No,No,33
"Union County, Iowa",Total,2008-2012,NA,NA,NA,NA,8494
"O'Brien County, Iowa","Some college, 1 or more years, no degree",2009-2013,Some College or Associates Degree,Yes,No,No,1401
"Black Hawk County, Iowa",9th grade,2009-2013,Less than High School,No,No,No,939
"Cedar County, Iowa",Kindergarten,2013-2017,Less than High School,No,No,No,0
"Plymouth County, Iowa",11th grade,2015-2019,Less than High School,No,No,No,158
"Shelby County, Iowa","Some college, less than 1 year",2011-2015,Some College or Associates Degree,Yes,No,No,693
"Cherokee County, Iowa",11th grade,2011-2015,Less than High School,No,No,No,251
"Delaware County, Iowa",Nursery school,2012-2016,Less than High School,No,No,No,72
"Page County, Iowa","Some college, 1 or more years, no degree",2013-2017,Some College or Associates Degree,Yes,No,No,1607
"Van Buren County, Iowa",Associate's degree,2012-2016,Some College or Associates Degree,Yes,Yes,No,603
"Linn County, Iowa","Some college, less than 1 year",2015-2019,Some College or Associates Degree,Yes,No,No,11531
"Monroe County, Iowa",10th grade,2012-2016,Less than High School,No,No,No,99
"Clayton County, Iowa",GED or alternative credential,2012-2016,High School Graduate,Yes,No,No,460
"O'Brien County, Iowa",10th grade,2014-2018,Less than High School,No,No,No,85
"Dallas County, Iowa",11th grade,2008-2012,Less than High School,No,No,No,440
"Ida County, Iowa",No schooling completed,2014-2018,Less than High School,No,No,No,30
"Winnebago County, Iowa",No schooling completed,2014-2018,Less than High School,No,No,No,31
"Sac County, Iowa",Master's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,268
"Pocahontas County, Iowa",4th grade,2010-2014,Less than High School,No,No,No,0
"Benton County, Iowa",11th grade,2014-2018,Less than High School,No,No,No,301
"Appanoose County, Iowa",10th grade,2012-2016,Less than High School,No,No,No,113
"Ida County, Iowa",11th grade,2010-2014,Less than High School,No,No,No,99
"Cherokee County, Iowa",Master's degree,2013-2017,Bachelors Degree or Higher,Yes,Yes,No,301
"Greene County, Iowa",Kindergarten,2012-2016,Less than High School,No,No,No,0
"Mahaska County, Iowa",3rd grade,2009-2013,Less than High School,No,No,No,6
"Osceola County, Iowa",GED or alternative credential,2013-2017,High School Graduate,Yes,No,No,162
